@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
119,'2022/12/14 12:06:19:534',2,584,499,2
120,'2022/12/14 12:06:20:569',2,596,484,2
121,'2022/12/14 12:06:20:580',2,598,480,2
122,'2022/12/14 12:06:20:590',2,596,499,2
123,'2022/12/14 12:06:20:600',2,593,508,2
124,'2022/12/14 12:06:20:611',2,606,482,2
125,'2022/12/14 12:06:20:621',2,574,483,2
126,'2022/12/14 12:06:20:632',2,582,494,2
127,'2022/12/14 12:06:21:665',2,600,494,2
128,'2022/12/14 12:06:21:675',2,601,500,2
129,'2022/12/14 12:06:21:685',2,608,507,2
130,'2022/12/14 12:06:21:696',2,599,491,2
131,'2022/12/14 12:06:21:706',2,576,486,2
132,'2022/12/14 12:06:21:717',2,589,479,2
133,'2022/12/14 12:06:21:727',2,597,476,2
134,'2022/12/14 12:06:22:759',2,578,480,2
135,'2022/12/14 12:06:22:770',2,584,474,2
136,'2022/12/14 12:06:22:780',2,600,505,2
137,'2022/12/14 12:06:22:791',2,605,503,2
138,'2022/12/14 12:06:22:801',2,602,487,2
139,'2022/12/14 12:06:22:812',2,601,505,2
140,'2022/12/14 12:06:22:822',2,603,502,2
141,'2022/12/14 12:06:23:854',2,579,472,2
142,'2022/12/14 12:06:23:864',2,604,499,2
143,'2022/12/14 12:06:23:875',2,599,501,2
144,'2022/12/14 12:06:23:885',2,593,478,2
145,'2022/12/14 12:06:23:896',2,580,495,2
146,'2022/12/14 12:06:23:906',2,604,505,2
147,'2022/12/14 12:06:23:917',2,575,488,2
148,'2022/12/14 12:06:24:951',2,600,497,2
149,'2022/12/14 12:06:24:961',2,574,491,2
150,'2022/12/14 12:06:24:972',2,600,507,2
151,'2022/12/14 12:06:24:982',2,598,482,2
152,'2022/12/14 12:06:24:993',2,596,505,2
153,'2022/12/14 12:06:25:003',2,579,480,2
154,'2022/12/14 12:06:25:013',2,575,499,2
155,'2022/12/14 12:06:26:047',2,578,498,2
156,'2022/12/14 12:06:26:057',2,602,503,2
157,'2022/12/14 12:06:26:067',2,597,496,2
158,'2022/12/14 12:06:26:078',2,602,497,2
159,'2022/12/14 12:06:26:088',2,579,499,2
160,'2022/12/14 12:06:26:099',2,602,501,2
161,'2022/12/14 12:06:26:109',2,586,473,2
162,'2022/12/14 12:06:27:143',2,593,481,2
163,'2022/12/14 12:06:27:153',2,592,483,2
164,'2022/12/14 12:06:27:164',2,582,475,2
165,'2022/12/14 12:06:27:174',2,586,486,2
166,'2022/12/14 12:06:27:185',2,579,500,2
167,'2022/12/14 12:06:27:195',2,587,502,2
168,'2022/12/14 12:06:27:206',2,595,494,2
169,'2022/12/14 12:06:28:239',2,602,477,2
170,'2022/12/14 12:06:28:249',2,589,494,2
171,'2022/12/14 12:06:28:260',2,600,508,2
172,'2022/12/14 12:06:28:270',2,592,478,2
173,'2022/12/14 12:06:28:281',2,597,496,2
174,'2022/12/14 12:06:28:291',2,595,479,2
175,'2022/12/14 12:06:28:301',2,598,496,2
176,'2022/12/14 12:06:29:336',2,586,492,2
177,'2022/12/14 12:06:29:346',2,577,472,2
178,'2022/12/14 12:06:29:357',2,597,496,2
