@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
516,'2022/12/14 12:08:08:945',6,518,964,6
517,'2022/12/14 12:08:09:980',6,528,966,6
518,'2022/12/14 12:08:09:990',6,537,970,6
519,'2022/12/14 12:08:10:001',6,535,971,6
520,'2022/12/14 12:08:10:011',6,521,971,6
521,'2022/12/14 12:08:10:021',6,519,969,6
522,'2022/12/14 12:08:10:032',6,514,963,6
523,'2022/12/14 12:08:10:042',6,528,966,6
524,'2022/12/14 12:08:11:074',6,511,962,6
525,'2022/12/14 12:08:11:084',6,535,967,6
526,'2022/12/14 12:08:11:095',6,516,964,6
527,'2022/12/14 12:08:11:105',6,513,966,6
528,'2022/12/14 12:08:11:116',6,527,962,6
529,'2022/12/14 12:08:11:126',6,534,963,6
530,'2022/12/14 12:08:11:136',6,531,965,6
531,'2022/12/14 12:08:12:169',6,530,968,6
532,'2022/12/14 12:08:12:180',6,538,967,6
533,'2022/12/14 12:08:12:190',6,536,968,6
534,'2022/12/14 12:08:12:201',6,524,968,6
535,'2022/12/14 12:08:12:211',6,534,956,6
536,'2022/12/14 12:08:12:222',6,523,970,6
537,'2022/12/14 12:08:12:232',6,525,960,6
538,'2022/12/14 12:08:13:267',6,534,962,6
539,'2022/12/14 12:08:13:278',6,531,968,6
540,'2022/12/14 12:08:13:288',6,517,967,6
541,'2022/12/14 12:08:13:298',6,516,959,6
542,'2022/12/14 12:08:13:308',6,530,960,6
543,'2022/12/14 12:08:13:318',6,514,965,6
544,'2022/12/14 12:08:13:329',6,531,970,6
545,'2022/12/14 12:08:14:362',6,523,973,6
546,'2022/12/14 12:08:14:372',6,525,968,6
547,'2022/12/14 12:08:14:383',6,508,973,6
548,'2022/12/14 12:08:14:393',6,532,974,6
549,'2022/12/14 12:08:14:404',6,529,965,6
550,'2022/12/14 12:08:14:413',6,528,973,6
551,'2022/12/14 12:08:14:424',6,529,969,6
552,'2022/12/14 12:08:15:458',6,528,971,6
553,'2022/12/14 12:08:15:468',6,537,967,6
554,'2022/12/14 12:08:15:479',6,530,971,6
555,'2022/12/14 12:08:15:489',6,530,971,6
556,'2022/12/14 12:08:15:499',6,507,972,6
557,'2022/12/14 12:08:15:510',6,532,966,6
558,'2022/12/14 12:08:15:520',6,530,967,6
559,'2022/12/14 12:08:16:554',6,532,965,6
560,'2022/12/14 12:08:16:564',6,529,963,6
561,'2022/12/14 12:08:16:575',6,533,972,6
562,'2022/12/14 12:08:16:585',6,526,972,6
563,'2022/12/14 12:08:16:594',6,513,971,6
564,'2022/12/14 12:08:16:605',6,526,967,6
565,'2022/12/14 12:08:16:615',6,517,968,6
566,'2022/12/14 12:08:17:648',6,529,969,6
567,'2022/12/14 12:08:17:658',6,506,969,6
568,'2022/12/14 12:08:17:669',6,537,968,6
569,'2022/12/14 12:08:17:679',6,530,965,6
570,'2022/12/14 12:08:17:690',6,525,969,6
571,'2022/12/14 12:08:17:700',6,532,970,6
572,'2022/12/14 12:08:17:711',6,518,963,6
573,'2022/12/14 12:08:18:743',6,532,962,6
574,'2022/12/14 12:08:18:753',6,526,958,6
575,'2022/12/14 12:08:18:764',6,532,961,6
576,'2022/12/14 12:08:18:774',6,531,967,6
577,'2022/12/14 12:08:18:785',6,531,967,6
578,'2022/12/14 12:08:18:795',6,530,963,6
579,'2022/12/14 12:08:18:805',6,513,960,6
580,'2022/12/14 12:08:19:838',6,521,967,6
581,'2022/12/14 12:08:19:849',6,527,967,6
582,'2022/12/14 12:08:19:859',6,526,967,6
583,'2022/12/14 12:08:19:870',6,527,960,6
584,'2022/12/14 12:08:19:880',6,526,957,6
585,'2022/12/14 12:08:19:890',6,506,966,6
586,'2022/12/14 12:08:19:901',6,517,958,6
587,'2022/12/14 12:08:20:934',6,507,965,6
588,'2022/12/14 12:08:20:944',6,538,965,6
589,'2022/12/14 12:08:20:955',6,529,964,6
590,'2022/12/14 12:08:20:965',6,512,957,6
591,'2022/12/14 12:08:20:976',6,527,967,6
592,'2022/12/14 12:08:20:986',6,523,969,6
593,'2022/12/14 12:08:20:996',6,524,966,6
594,'2022/12/14 12:08:22:028',6,531,967,6
595,'2022/12/14 12:08:22:039',6,526,967,6
596,'2022/12/14 12:08:22:049',6,526,957,6
597,'2022/12/14 12:08:22:060',6,514,962,6
598,'2022/12/14 12:08:22:070',6,532,966,6
599,'2022/12/14 12:08:22:080',6,534,965,6
600,'2022/12/14 12:08:22:091',6,532,951,6
